judul,link,desc,tanggal,kategori,keyword
Fahri Hamzah Sebut World Bank Siap Investasi Rp 16 T buat Renovasi Rumah RI,https://www.detik.com/properti/berita/d-7880138/fahri-hamzah-sebut-world-bank-siap-investasi-rp-16-t-buat-renovasi-rumah-ri,Pemerintah mendorong renovasi rumah tidak layak huni. Wakil Menteri PKP Fahri Hamzah mengatakan World Bank siap berikan US$ 1 miliar untuk proyek ini.,"Selasa, 22 Apr 2025 13:15 WIB",detikProperti,kemiskinan world bank
Bank Sumsel Babel Perkuat Komitmen Sosial Turunkan Kemiskinan Ekstrem,https://www.detik.com/sumbagsel/bisnis/d-7565484/bank-sumsel-babel-perkuat-komitmen-sosial-turunkan-kemiskinan-ekstrem,Bank Sumsel Babel memberikan 1.000 paket sembako untuk masyarakat Sumsel. Inisiatif ini bertujuan mengatasi kemiskinan ekstrem dan menjawab tantangan ekonomi.,"Senin, 30 Sep 2024 18:34 WIB",detikSumbagsel,kemiskinan world bank
"Luhut Tersinggung World Bank Sebut Pajak RI Jelek, Disamakan dengan Nigeria",https://finance.detik.com/berita-ekonomi-bisnis/d-7733177/luhut-tersinggung-world-bank-sebut-pajak-ri-jelek-disamakan-dengan-nigeria,"""Dia kasih presentasi, mengatakan Indonesia salah satu negara yang mengoleksi pajaknya paling jelek. Kita disamakan sama Nigeria ya waktu itu,"" kata Luhut.","Rabu, 15 Jan 2025 11:29 WIB",detikFinance,kemiskinan world bank
Luhut Ungkap World Bank Kritik Cara RI Pungut Pajak hingga Muncul Coretax,https://finance.detik.com/berita-ekonomi-bisnis/d-7724458/luhut-ungkap-world-bank-kritik-cara-ri-pungut-pajak-hingga-muncul-coretax,"Coretax hadir dipicu oleh momen briefing Indonesia dengan World Bank pada waktu lampau. Pada kala itu, World Bank mengkritisi cara Indonesia menghimpun pajak.","Kamis, 09 Jan 2025 11:59 WIB",detikFinance,kemiskinan world bank
Kementerian PKP Mau Gaet World Bank buat Program 3 Juta Rumah,https://www.detik.com/properti/berita/d-7687485/kementerian-pkp-mau-gaet-world-bank-buat-program-3-juta-rumah,Menteri PKP Maruarar Sirait bertemu delegasi World Bank untuk mencari peluang kerja sama dalam mewujudkan Program 3 Juta Rumah.,"Minggu, 15 Des 2024 16:00 WIB",detikProperti,kemiskinan world bank
"Fahri Sebut World Bank cs Mau Kucurkan Rp 50 T buat 3 Juta Rumah, Bunga 0%!",https://www.detik.com/properti/berita/d-7903215/fahri-sebut-world-bank-cs-mau-kucurkan-rp-50-t-buat-3-juta-rumah-bunga-0,Pemerintah mendapat dukungan lembaga bank pembangunan multilateral sebesar Rp 50 triliun untuk membangun dan merenovasi rumah masyarakat.,"Rabu, 07 Mei  2025 10:16 WIB",detikProperti,kemiskinan world bank
"Kemenkeu, World Bank & Indonesia AID Gelar Seminar soal Middle-Income Trap",https://news.detik.com/berita/d-7557314/kemenkeu-world-bank-indonesia-aid-gelar-seminar-soal-middle-income-trap,Acara yang berlangsung selama dua hari ini menjadi momen peluncuran the World Development Report 2024 on Middle Income Trap (WDR24) untuk kawasan ASEAN.,"Rabu, 25 Sep 2024 13:07 WIB",detikNews,kemiskinan world bank
"Penanganan Kemiskinan RI Dipuji Bank Dunia, Begini Datanya",https://finance.detik.com/berita-ekonomi-bisnis/d-7347567/penanganan-kemiskinan-ri-dipuji-bank-dunia-begini-datanya,"Penanganan kemiskinan di Indonesia dipuji Bank Dunia (World Bank), khususnya penanganan kategori kemiskinan ekstrem.","Minggu, 19 Mei  2024 13:30 WIB",detikFinance,kemiskinan world bank
"Diakui Bank Dunia, Jokowi Pamer RI Berhasil Tangani Kemiskinan Ekstrim!",https://finance.detik.com/berita-ekonomi-bisnis/d-7347340/diakui-bank-dunia-jokowi-pamer-ri-berhasil-tangani-kemiskinan-ekstrim,Presiden Joko Widodo (Jokowi) menyebutkan Indonesia telah berhasil melakukan penanganan kemiskinan ekstrim.,"Minggu, 19 Mei  2024 09:30 WIB",detikFinance,kemiskinan world bank
"Apresiasi Dukungan World Bank ke RI, AHY: Percepat Program Reforma Agraria",https://news.detik.com/berita/d-7522241/apresiasi-dukungan-world-bank-ke-ri-ahy-percepat-program-reforma-agraria,Menteri ATR/BPN Agus Harimurti Yudhoyono (AHY) membahas rencana kerja sama pemerintah Indonesia dengan World Bank.,"Selasa, 03 Sep 2024 14:29 WIB",detikNews,kemiskinan world bank
AHY Lanjutkan Kerja Sama dengan World Bank untuk Program Pendataan Tanah,https://news.detik.com/berita/d-7517481/ahy-lanjutkan-kerja-sama-dengan-world-bank-untuk-program-pendataan-tanah,AHY menilai kerja sama antara Kementerian ATR/BPN dengan World Bank perlu dilanjutkan.,"Jumat, 30 Agu 2024 22:04 WIB",detikNews,kemiskinan world bank
World Bank Apresiasi Pertumbuhan Ekonomi RI yang Stabil di Atas 5 Persen,https://20.detik.com/detikupdate/20240726-240726045/world-bank-apresiasi-pertumbuhan-ekonomi-ri-yang-stabil-di-atas-5-persen,Airlangga Hartarto menjelaskan soal pertemuan delegasi antara Jokowi dengan World Bank. World Bank mengapresiasi pertumbuhan ekonomi RI yang stabil.,"Jumat, 26 Jul 2024 04:04 WIB",detikFinance,kemiskinan world bank
BPS Jelaskan Beda Data Kemiskinan di RI dengan Bank Dunia,https://finance.detik.com/berita-ekonomi-bisnis/d-7896692/bps-jelaskan-beda-data-kemiskinan-di-ri-dengan-bank-dunia,Perbedaan disebut muncul karena adanya perbedaan standar garis kemiskinan yang digunakan untuk tujuan yang berbeda.,"Sabtu, 03 Mei  2025 07:00 WIB",detikFinance,kemiskinan world bank
Saat Jokowi Pamer Penanganan Kemiskinan Ekstrem RI Diacungi Jempol Bank Dunia,https://finance.detik.com/berita-ekonomi-bisnis/d-7348312/saat-jokowi-pamer-penanganan-kemiskinan-ekstrem-ri-diacungi-jempol-bank-dunia,Pemerintah Indonesia yang saat ini dipimpin Presiden Joko Widodo (Jokowi) dinilai telah berhasil menekan kemiskinan ekstrem dengan baik.,"Senin, 20 Mei  2024 06:56 WIB",detikFinance,kemiskinan world bank
"AHY Bertemu Petinggi World Bank, Bahas Masalah Pertanahan",https://finance.detik.com/infrastruktur/d-7254396/ahy-bertemu-petinggi-world-bank-bahas-masalah-pertanahan,Menteri ATR Agus Harimurti Yudhoyono (AHY) melakukan pertemuan dengan beberapa perwakilan World Bank di kantornya.,"Kamis, 21 Mar 2024 17:36 WIB",detikFinance,kemiskinan world bank
Pemerintah Bentuk 80 Ribu Kopdes Merah Putih Demi Lawan Rentenir dan Pinjol,https://www.detik.com/kalimantan/bisnis/d-7930658/pemerintah-bentuk-80-ribu-kopdes-merah-putih-demi-lawan-rentenir-dan-pinjol,Pemerintah dorong pembentukan 80.000 Koperasi Desa Merah Putih untuk atasi kemiskinan dan pengangguran. Program ini targetkan pertumbuhan ekonomi hingga 8%.,"Sabtu, 24 Mei  2025 20:00 WIB",detikKalimantan,kemiskinan world bank
Upaya PNM Berdayakan Perempuan Wujudkan Keuangan Syariah Berkelanjutan,https://news.detik.com/berita/d-7930069/upaya-pnm-berdayakan-perempuan-wujudkan-keuangan-syariah-berkelanjutan,"Program PNM Mekaar tidak hanya memberikan akses pembiayaan untuk ibu-ibu pengusaha ultra mikro, tetapi juga pendampingan dan pelatihan.","Sabtu, 24 Mei  2025 12:19 WIB",detikNews,kemiskinan world bank
